Agent,R/N    ,PAX,Revenue,AvgRate,Rm,PAX
Travelenter_Asia,0,0,0.00,0.00,0,0
Agoda_Opaque_,0,0,0.00,0.00,0,0
Ascend_Travel,0,0,0.00,0.00,0,0
ITC_Bangkok_,0,0,0.00,0.00,0,0
Long_Xiang_Express,0,0,0.00,0.00,0,0
Cobra_International,0,0,0.00,0.00,0,0
NT_Incoming_Thailand,0,0,0.00,0.00,0,0
Meeting_Point_Asia_FTI_Asia_,0,0,0.00,0.00,0,0
I_Viaggi_del_Turchese,0,0,0.00,0.00,0,0
Thai_Wan_Xiang_Trade_Group,0,0,0.00,0.00,0,0
Yang_Kuang_Travel,0,0,0.00,0.00,0,0
Easia_Travel_Thailand,0,0,0.00,0.00,0,0
OH_My_God_,0,0,0.00,0.00,0,0
Thai_Taihi_Group,0,0,0.00,0.00,0,0
Elitelass_Group_Thailand,0,0,0.00,0.00,0,0
Comp_by_k_Somkiate_Lucky_w,0,0,0.00,0.00,0,0
Royal_Nice_Travel_G,0,0,0.00,0.00,0,0
Tourico_Holidays_Thailand,0,0,0.00,0.00,0,0
Chulalongkorn_University_Gr,0,0,0.00,0.00,0,0
AMI_Thai_Ticket_&_Travel,0,0,0.00,0.00,0,0
RX_Travel_&_Trading,0,0,0.00,0.00,0,0
Jia_Wei_International,0,0,0.00,0.00,0,0
Jia_Wei_International,0,0,0.00,0.00,0,0
Tai_Hai_Yang_Group,0,0,0.00,0.00,0,0
Golden_Rich_Travel,0,0,0.00,0.00,0,0
Ministry_Of_Energy,0,0,0.00,0.00,0,0
Group_Booking_by_Khun_Samik,0,0,0.00,0.00,0,0
FIT_by_WeChat,0,0,0.00,0.00,0,0
A&P_Solution_and_Managemen,0,0,0.00,0.00,0,0
Pao_Ta_Travel_Grou,0,0,0.00,0.00,0,0
Asada_Thailandtd,0,0,0.00,0.00,0,0
Thai_Namthip_FIT,0,0,0.00,0.00,0,0
Advance_Info_Service_AIS_,0,0,0.00,0.00,0,0
PPL_Trading_Thailandt,0,0,0.00,0.00,0,0
Lian_Tai_Travel_Thailand,0,0,0.00,0.00,0,0
Assumption_Samutprakarn_Sch,0,0,0.00,0.00,0,0
Transorient/o_govacation_,0,0,0.00,0.00,0,0
Upright_Group,0,0,0.00,0.00,0,0
KTB_General_Service,0,0,0.00,0.00,0,0
Gretener_Reisen_&_Golf_Woche,0,0,0.00,0.00,0,0
Finane_Division_Department_O,0,0,0.00,0.00,0,0
TEZ_Tour_DMCC_Worldwide,0,0,0.00,0.00,0,0
V_L_Travel_Group,0,0,0.00,0.00,0,0
Thong_Siam_Happy_Tour,0,0,0.00,0.00,0,0
Blue_Sky_Traveling,0,0,0.00,0.00,0,0
AT_Network,0,0,0.00,0.00,0,0
Tai_Li_Jia_Travel_Gr,0,0,0.00,0.00,0,0
Transactionontainer_Lines_T,0,0,0.00,0.00,0,0
Enjoy_Thai_Travel_Group,0,0,0.00,0.00,0,0
CP_ALL_FIT,0,0,0.00,0.00,0,0
Sunrise_Golflub,0,0,0.00,0.00,0,0
T_K_L_Travel_Group,0,0,0.00,0.00,0,0
Pattaya_Immigration,0,0,0.00,0.00,0,0
Royal_Thai_Air_Force_RTAF_,0,0,0.00,0.00,0,0
Ctrip_International_Travel_Ho,0,0,0.00,0.00,0,0
Manit_Travel,0,0,0.00,0.00,0,0
Panchalee_Tour_&_Travel_Ltd_,0,0,0.00,0.00,0,0
PTT_Group,0,0,0.00,0.00,0,0
Pattayaity_Office,0,0,0.00,0.00,0,0
BAAC_Bank_Srisaket_,0,0,0.00,0.00,0,0
Queen_Sirikit_National_Institut,0,0,0.00,0.00,0,0
A_S_Science,0,0,0.00,0.00,0,0
Dong_Fang_Tour_Thailando,0,0,0.00,0.00,0,0
Tai_Shan_Mei_Group,0,0,0.00,0.00,0,0
Thai_Insurance_Public,0,0,0.00,0.00,0,0
Royal_Timeiti,0,0,0.00,0.00,0,0
JR_Inter_Travel_Service,0,0,0.00,0.00,0,0
Tai_Shan_Mei_FIT,0,0,0.00,0.00,0,0
Royal_Timeiti,0,0,0.00,0.00,0,0
Sakura_Kaigo_Thailand,0,0,0.00,0.00,0,0
Tai_Mei_View_Travel,0,0,0.00,0.00,0,0
Weekend_Tours_&argo_Servi,0,0,0.00,0.00,0,0
Sarakham_Photolub,0,0,0.00,0.00,0,0
Department_of_Medical_Service,0,0,0.00,0.00,0,0
Naret_Narble,0,0,0.00,0.00,0,0
ECGorporation,0,0,0.00,0.00,0,0
